repo,stars,forks,watchers,deleted,private,archived,disabled
sohailkhan-wq/python-beginner-projects,1,0,1,False,False,False,False
sohailkhan-wq/python-beginner-projects-part-2,-1,-1,-1,False,True,False,False
sohailkhan-wq/python-portfolio-projects-,-1,-1,-1,False,True,False,False
sohailkhan-wq/python-projects-beginners,-1,-1,-1,False,True,False,False
sohailkhan-wq/python-projects-for-beginners,-1,-1,-1,False,True,False,False
sohailkhan-wq/sohailkhan-wq,-1,-1,-1,False,True,False,False
sohailkhan01/demand-side-management,-1,-1,-1,False,True,False,False
sohailkhan01/hello-world,-1,-1,-1,False,True,False,False
sohailkhan05/sohail,0,0,1,False,False,False,False
sohailkhan05/sohailkhan05,0,0,1,False,False,False,False
sohailkhan0550/project122,0,0,1,False,False,False,False
sohailkhan09/sohailkhan09,0,0,1,False,False,False,False
sohailkhan1/sohailkhan1,0,0,1,False,False,False,False
sohailkhan11/c-projects,-1,-1,-1,False,True,False,False
sohailkhan11/js-assignment-20-to-42,0,0,1,False,False,False,False
sohailkhan11/js-assignment-ch-9-11,0,0,1,False,False,False,False
sohailkhan11/js-assignment-ch4-varieble,0,0,1,False,False,False,False
sohailkhan11/js-assignment-chapter-2,0,0,1,False,False,False,False
sohailkhan11/js-assignment-chapter-3,0,0,1,False,False,False,False
sohailkhan11/js-assignment-chapter-5,0,0,1,False,False,False,False
sohailkhan11/js-assignments,0,0,1,False,False,False,False
sohailkhan11/js-chapter6-assignment,0,0,1,False,False,False,False
sohailkhan11/raees10-c-projects,-1,-1,-1,False,True,False,False
sohailkhan11/sohailkhan11,-1,-1,-1,False,True,False,False
sohailkhan1122/khan,0,0,0,False,False,False,False
sohailkhan1122/sohail,0,0,0,False,False,False,False
sohailkhan1122/sohailahmad,0,0,0,False,False,False,False
sohailkhan1122/sohailawk,0,0,0,False,False,False,False
sohailkhan1122/webizps,0,0,0,False,False,False,False
sohailkhan11523/focuslearner,0,0,0,False,False,False,False
sohailkhan12336/my-repo,0,0,1,False,False,False,False
sohailkhan1234/sohail,0,0,0,False,False,False,False
sohailkhan135/180-days-of-code,0,0,1,False,False,False,False
sohailkhan137/demo-repo,-1,-1,-1,False,True,False,False
sohailkhan137/sohail-khan,0,0,1,False,False,False,False
sohailkhan137/sohailkhan137,-1,-1,-1,False,True,False,False
sohailkhan141/blood-bank,0,0,1,False,False,False,False
sohailkhan141/test_demo,-1,-1,-1,False,True,False,False
sohailkhan147/codehacking,0,0,0,False,False,False,False
sohailkhan147/laravelcourse,0,0,0,False,False,False,False
sohailkhan17/developement,0,0,0,False,False,False,False
sohailkhan17/maven1,0,0,1,False,False,False,False
sohailkhan17/maven2,0,0,0,False,False,False,False
sohailkhan17/maven3,0,0,1,False,False,False,False
sohailkhan17/mynewproject,0,0,1,False,False,False,False
sohailkhan17/sharedlibrary2,0,0,1,False,False,False,False
sohailkhan188/practice,0,0,1,False,False,False,False
sohailkhan1999/sohailkhan1999,0,0,1,False,False,False,False
