owner,repo,stars,forks,watchers,deleted,private,archived,disabled
gustduarte,docker-images,-1,-1,-1,True,False,False,False
gusted,powercord-normalized-classes,-1,-1,-1,True,False,False,False
gustfer,test,-1,-1,-1,True,False,False,False
gustgv,proyecto-ml_ops-gustavo-gonzalez,-1,-1,-1,True,False,False,False
gusthawojunkes,dijkstra,-1,-1,-1,True,False,False,False
gusthawojunkes,tudo-gostoso-scrapper,-1,-1,-1,True,False,False,False
gusthescripter,podcasting-2.0,-1,-1,-1,True,False,False,False
gustho-dot,a11y,-1,-1,-1,True,False,False,False
gustiagung19,fivem-project-version,-1,-1,-1,True,False,False,False
gustiavo123,aplicada_tp,-1,-1,-1,True,False,False,False
gustinoco,xerteonlinetoolkits,-1,-1,-1,True,False,False,False
gustinojr,devskill,-1,-1,-1,True,False,False,False
gustjd887,test,-1,-1,-1,True,False,False,False
gustmends,minha-biblioteca,-1,-1,-1,True,False,False,False
gustmrg,course-data-driven-api,-1,-1,-1,True,False,False,False
gustmrg,watchify,-1,-1,-1,True,False,False,False
gustofarbi,bar,-1,-1,-1,True,False,False,False
gustofarbi,canvas-renderer,-1,-1,-1,True,False,False,False
gustosa,react-letmeask,-1,-1,-1,True,False,False,False
gustostahl,dotfiles,-1,-1,-1,True,False,False,False
gustschaefer,helper-functions,-1,-1,-1,True,False,False,False
gustsvogarcia,3e-suporte,-1,-1,-1,True,False,False,False
gustsvogarcia,3e_suporte,-1,-1,-1,True,False,False,False
gusttavo-miguel,exemplocrud-python,-1,-1,-1,True,False,False,False
gusttavocdn,pokemon_api,-1,-1,-1,True,False,False,False
gusttavofaria,githubsearch,-1,-1,-1,True,False,False,False
gusttavofelipe,curso_python-,-1,-1,-1,True,False,False,False
gusttavomarinho,devsnotes,-1,-1,-1,True,False,False,False
gusttavomarinho,devsnotes2,-1,-1,-1,True,False,False,False
gustyper,exercicio-java-oop,-1,-1,-1,True,False,False,False
gusvasconcelos,chess-mate-java,-1,-1,-1,True,False,False,False
gusvf,sketchup-exercises,-1,-1,-1,True,False,False,False
gusvf,trybe-exercicios,-1,-1,-1,True,False,False,False
gusvilla303,phase-1-project,-1,-1,-1,True,False,False,False
guswl8033,guswl8033.github.io,-1,-1,-1,True,False,False,False
guswls1419,todo_typescript,-1,-1,-1,True,False,False,False
guswlsakfls,pyhton_projects,-1,-1,-1,True,False,False,False
gut,luajit-ppc64,-1,-1,-1,True,False,False,False
gutaline,newpoki,-1,-1,-1,True,False,False,False
gutbomb,rhapsody-api,-1,-1,-1,True,False,False,False
gutbomb,rhapsody-ui,-1,-1,-1,True,False,False,False
gutbomb,theset-api,-1,-1,-1,True,False,False,False
gutefco,testdriven-app,-1,-1,-1,True,False,False,False
gutenberg-technology,authoring-backend,-1,-1,-1,True,False,False,False
gutenbergdev,ecommercesk8,-1,-1,-1,True,False,False,False
gutenye,gutenye.github.io,-1,-1,-1,True,False,False,False
guterkase,awesomesloydown,-1,-1,-1,True,False,False,False
guthoalves01,manterservicos,-1,-1,-1,True,False,False,False
guthree,cwebserver,-1,-1,-1,True,False,False,False
guti10x,daniel-gutierrez-practicas-pcd,-1,-1,-1,True,False,False,False
gutidev01,-exp1_lacourt_gutierrez,-1,-1,-1,True,False,False,False
gutidk,00projectiwc,-1,-1,-1,True,False,False,False
gutierrez64,server,-1,-1,-1,True,False,False,False
gutierrezgtz,jogopokemon,-1,-1,-1,True,False,False,False
gutierrezkenneth,first-project-in-ionic,-1,-1,-1,True,False,False,False
gutilinax,miencriptador,-1,-1,-1,True,False,False,False
gutingliao,wissen,-1,-1,-1,True,False,False,False
gutmox,permissions,-1,-1,-1,True,False,False,False
gutneri,algoritmosdeordenacao2,-1,-1,-1,True,False,False,False
gutnick,first-project,-1,-1,-1,True,False,False,False
gutntag,oauth2-okta-example,-1,-1,-1,True,False,False,False
guto-silva,minha-lista-de-compras-frontend,-1,-1,-1,True,False,False,False
guto-silva,spring-boot-e-jpa,-1,-1,-1,True,False,False,False
guto93,criarsites,-1,-1,-1,True,False,False,False
guto93,saturno,-1,-1,-1,True,False,False,False
guto93,venus,-1,-1,-1,True,False,False,False
guto93,venus01,-1,-1,-1,True,False,False,False
gutocitton,modulo-react,-1,-1,-1,True,False,False,False
gutofrr,jobs-api,-1,-1,-1,True,False,False,False
gutohelmet,rails_store,-1,-1,-1,True,False,False,False
gutovargas,krodtloot,-1,-1,-1,True,False,False,False
gutoveronezi,happy-frontend,-1,-1,-1,True,False,False,False
gutovinhal,site-legion,-1,-1,-1,True,False,False,False
gutovp,express-mysql-server1,-1,-1,-1,True,False,False,False
