owner,repo,stars,forks,watchers,deleted,private,archived,disabled
invertedx,instory,207,51,14,False,False,True,False
invivoo,blog,6,51,8,False,False,False,False
invivoo,blog-posts,6,51,8,False,False,False,False
iobroker-community-adapters,iobroker.shelly,120,51,21,False,False,False,False
iomoath,sharpstrike,189,51,5,False,False,False,False
ionic-samples,ionic-messenger-starter,100,51,20,False,False,False,False
ionic-team,docs-demo,70,51,8,False,False,False,False
ionic-team,ionic-ion-drawer,52,51,28,False,False,True,False
ionic-team,ionic2-starter-tabs,53,51,34,False,False,True,False
ionic-team,rollup-plugin-node-polyfills,114,51,8,False,False,False,False
iosdecal,ios-decal-proj2-part2,0,51,9,False,False,False,False
ioterop,iowa,110,51,55,False,False,False,False
ioterop,iowa_samples,110,51,55,False,False,False,False
ipfs,ipfs-update,133,51,36,False,False,False,False
iquick,2048,56,51,5,False,False,False,False
irgolic,autopr,931,51,15,False,False,False,False
iroachie,react-native-material-tabs,118,51,5,False,False,False,False
irsisyphus,notes,140,51,5,False,False,False,False
irwin-tech,docker-pipeline-demo,0,51,3,False,False,False,False
isayso,playlisteditortv,197,51,19,False,False,False,False
ishuibo,rsa-encrypt-body-spring-boot,114,51,2,False,False,False,False
islamkhsh,cardslider,301,51,8,False,False,False,False
isofit,isofit,59,51,11,False,False,False,False
isonic1,appium-workshop,28,51,7,False,False,False,False
israelzablianov,draggable-vue-directive,312,51,13,False,False,False,False
issue-tracking-system,pmticket,86,51,10,False,False,False,False
issue-tracking-system,project-management-software,86,51,10,False,False,False,False
issuex,ark-funds-monitor,176,51,8,False,False,False,False
italorossi,greenswitch,114,51,21,False,False,False,False
itchio,butler,629,51,21,False,False,False,False
itrich,vsh-bleibt,13,51,3,False,False,False,False
itspawanbhardwaj,aws-certified-solutions-architect-associate,36,51,3,False,False,False,False
itspawanbhardwaj,aws-certified-solutions-architect-associate-2019,36,51,3,False,False,False,False
ittianyu,mvvm,258,51,20,False,False,False,False
itwanger,learncs-byyourself,368,51,3,False,False,False,False
iurygdeoliveira,mysql,3,51,2,False,False,False,False
ivan909020,shop-telegram-bot,100,51,8,False,False,False,False
ivanmoore,weather,0,51,1,False,False,False,False
ivaylo-popov,theano-lights,267,51,25,False,False,False,False
ivoleko,iltranslucentview,436,51,20,False,False,False,False
iwun,china_geojson,73,51,3,False,False,False,False
ixartz,eleventy-starter-boilerplate,252,51,6,False,False,False,False
ixixi,fluent-plugin-sqs,35,51,4,False,False,False,False
j6xontop,jvoid,41,51,5,False,False,False,False
jabardigitalservice,pikobar-flutter,74,51,9,False,False,False,False
jacekschae,learn-reagent-course-files,84,51,3,False,False,False,False
jackgitgz,chrome_server_plugin,78,51,11,False,False,False,False
jacklam718,react-native-button-component,532,51,5,False,False,False,False
jackpal,bencode-go,212,51,10,False,False,False,False
jacob5412,java-programming,68,51,3,False,False,False,False
jacobjohn2016,java-programming,68,51,3,False,False,False,False
jacobsenmd,rosettadrone,112,51,34,False,False,False,False
