owner,repo,stars,forks,watchers,deleted,private,archived,disabled
teambition,dropdownmenu,132,24,6,False,False,False,False
techniq,mui-virtualized-table,132,33,8,False,False,False,False
teleological,slickback,132,28,11,False,False,True,False
telosys-tools-bricks,telosys-cli,132,22,13,False,False,False,False
tencentyun,wafer-node-server-sdk,132,22,31,False,False,False,False
tencentyun,weapp-node-server-sdk,132,22,31,False,False,False,False
tengusw,share_to_clipboard,132,31,10,False,False,False,False
terraform-providers,terraform-provider-docker,132,90,10,False,False,True,False
tessarakkt,godot4-oceanfft,132,6,4,False,False,False,False
teteusaraujo,kdmeubichinho-backend,132,8,3,False,False,False,False
tetratelabs,getistio,132,29,9,False,False,False,False
tetratelabs,getmesh,132,29,9,False,False,False,False
teyjus,teyjus,132,20,15,False,False,False,False
the-compiler,pytest-vw,132,8,2,False,False,False,False
theandroidmaster,colorpickerdialog,132,16,5,False,False,False,False
themebeans,tabor,132,46,14,False,False,False,False
themespectre,linen,132,46,7,False,False,False,False
themsaid,multitenancy-example,132,51,6,False,False,False,False
thenextweb,gtm,132,8,15,False,False,False,False
theogf,augmentedgaussianprocesses.jl,132,9,6,False,False,False,False
theogf,dataaugmentedmodels.jl,132,9,6,False,False,False,False
theogf,omgp.jl,132,9,6,False,False,False,False
thepixeldeveloper,sitemap,132,36,8,False,False,False,False
thepixeldeveloper,sitemap-v2,132,36,8,False,False,False,False
theqmaks,javainjector,132,36,4,False,False,False,False
theracinglion,discord-selfbot,132,104,17,False,False,True,False
therealbluepandabear,pixapencil,132,21,4,False,False,False,False
therealbluepandabear,pixapencil_classic,132,21,4,False,False,False,False
therealbluepandabear,pyxlmoose,132,21,4,False,False,False,False
thescrabi,coralibre-android-sdk,132,6,17,False,False,False,False
thinkinghan,java-review-gudie,132,70,8,False,False,False,False
thoemmi,tinylittlemvvm,132,24,17,False,False,False,False
thomasfootedq,droidquest,132,49,26,False,False,False,False
thomaspark,fontcdn,132,19,9,False,False,False,False
thorpham,license-plate-detection,132,43,7,False,False,False,False
thoth-org,thoth.json,132,31,5,False,False,False,False
thoughtram,angular2-change-detection-demos,132,57,8,False,False,False,False
threatexpress,aggressor-scripts,132,19,6,False,False,False,False
thymeleaf,thymeleaf-extras-eclipse-plugin,132,29,19,False,False,False,False
tiagofreire-pt,ha_edp_box,132,21,16,False,False,False,False
tiagofreire-pt,ha_edp_energy_box,132,21,16,False,False,False,False
tiagofreire-pt,home_assistant_edp_box,132,21,16,False,False,False,False
tiancao2022,fxminerproxy,132,5,1,False,False,False,False
tiancao2022,nbminerproxy,132,5,1,False,False,False,False
tierra,wp-vagrant,132,16,15,False,False,True,False
timbiles,breaking-bad--api,132,26,2,False,False,False,False
timelyportfolio,vuer,132,14,11,False,False,False,False
timewasted,go-check-certs,132,42,7,False,False,False,False
timotheechauvin,nndl-solutions,132,42,5,False,False,True,False
timpietrusky,background-clip-text-polyfill,132,29,6,False,False,False,False
timwspence,cats-stm,132,16,6,False,False,False,False
tinkerturtle,sentry-picam,132,8,13,False,False,False,False
tinkerturtle,simple-webcam,132,8,13,False,False,False,False
titu1994,keras-adabound,132,34,6,False,False,False,False
titu1994,mobilenetworks,132,42,9,False,False,False,False
tizianofiorenzani,ros_tutorials,132,75,15,False,False,False,False
tj,gui,132,9,4,False,False,False,False
tj,node-pwd,132,18,7,False,False,False,False
tknerr,bills-kitchen,132,16,9,False,False,False,False
tkrajina,10000sentences,132,24,11,False,False,False,False
tobiasgruening,aru-net,132,43,14,False,False,True,False
tolinkshare,freenode,132,7,9,False,False,False,False
tom-o-the-developer,pyxlmoose,132,21,4,False,False,False,False
tombatossals,react-chords,132,27,14,False,False,False,False
tombebbington,js.rs,132,10,6,False,False,False,False
tompollard,tableone,132,32,8,False,False,False,False
tongwang,s3fs-c,132,24,12,False,False,False,False
tony801015,chinese-lunar,132,55,10,False,False,False,False
tootallnate,install-node.now.sh,132,22,5,False,False,False,False
toqe,downloader,132,47,15,False,False,False,False
torhovland,blazor-realworld-example-app,132,26,17,False,False,False,False
tosher,mediawiker,132,28,13,False,False,False,False
trailofbits,sienna-locomotive,132,24,14,False,False,True,False
tralexium,chippy_avoidance,132,13,5,False,False,False,False
tresata,spark-kafka,132,39,12,False,False,True,False
trey2k,lua,132,10,9,False,False,False,False
triaquae,py3_training,132,256,23,False,False,False,False
tribou,react-todo,132,29,8,False,False,False,False
true-grue,kispython,132,112,17,False,False,False,False
trustrachel,flask-featureflags,132,21,5,False,False,True,False
try90,taobao-1212,132,75,7,False,False,False,False
tsheaff,clktooltip,132,20,35,False,False,True,False
tsheaff,sexytooltip,132,20,35,False,False,True,False
tshort,eyeball.jl,132,4,4,False,False,False,False
tsukictf,lovely-potato,132,28,2,False,False,False,False
tusimple,neuron-selectivity-transfer,132,20,9,False,False,False,False
tutim-io,react-gpt,132,8,4,False,False,False,False
tutorialzine,cute-files,132,54,9,False,False,False,False
tvdburgt,go-argon2,132,12,8,False,False,False,False
twbs,no-carrier,132,16,9,False,False,True,False
twitchinstallsarchlinux,twitch-master,132,9,8,False,False,False,False
twitter-archive,haplocheirus,132,16,130,False,False,True,False
twitter,haplocheirus,132,16,130,False,False,True,False
twitter,tormenta,132,35,136,False,False,False,False
typed-project,typed-framework,132,17,14,False,False,True,False
typed-wire,typed-wire,132,9,11,False,False,False,False
typesigs,safedata,132,13,19,False,False,False,False
tzshlyt,ios11-pdfkit-example,132,27,6,False,False,False,False
uahengojr,mongoose-rbac,132,21,6,False,False,False,False
ubuntunux,guineapig,132,14,10,False,False,False,False
ubuntunux,pyengine3d,132,14,10,False,False,False,False
ucsc-mus-strain-cactus,comparative-annotation-toolkit,132,45,13,False,False,False,False
ucsccomparativegenomics,comparative-annotation-toolkit,132,45,13,False,False,False,False
udacity,kotlin-notepad,132,199,24,False,False,False,False
udacity,rl-quadcopter,132,104,13,False,False,True,False
udinic,smallexamples,132,115,9,False,False,False,False
udoprog,oxidizebot,132,19,2,False,False,False,False
udoprog,setmod,132,19,2,False,False,False,False
uellenberg,rexs,132,2,2,False,False,False,False
uhauha2929,examples,132,63,7,False,False,False,False
umich-vl,px2graph,132,22,5,False,False,False,False
underscorediscovery,snow,132,35,30,False,False,False,False
ungerik,go-cairo,132,32,6,False,False,False,False
unicreators,mvvm,132,22,6,False,False,False,False
unique1984,s-zle-meler,132,19,19,False,False,False,False
unique1984,sozlesmeler,132,19,19,False,False,False,False
unity-technologies,com.unity.services.samples,132,55,18,False,False,False,False
unoplatform,uno.samples,132,73,36,False,False,False,False
uptech,alt,132,12,16,False,False,False,False
urigo,angular-meteor-base,132,48,13,False,False,False,False
urigo,angular2-meteor-base,132,48,13,False,False,False,False
usecodelee,vue-auto-puzzle,132,12,4,False,False,False,False
usgpo,bill-status,132,40,37,False,False,False,False
utkarsh-pro,node-snowflake,132,14,4,False,False,False,False
utkarsh-pro,nodejs-snowflake,132,14,4,False,False,False,False
utkarsh-pro,snowflake,132,14,4,False,False,False,False
utmapp,qemu,132,27,10,False,False,False,False
v3aqb,fwlite,132,21,13,False,False,False,False
vaadin-learning-center,crm-tutorial,132,157,31,False,False,False,False
vaadin-learning-center,flow-crm-tutorial,132,157,31,False,False,False,False
vaadin,flow-crm-tutorial,132,157,31,False,False,False,False
vacuumlabs,react-custom-validation,132,18,86,False,False,False,False
vacuumlabs,react-validation,132,18,86,False,False,False,False
vacuumlabs,validation,132,18,86,False,False,False,False
vadimdemedes,ink-text-input,132,33,5,False,False,False,False
valentinradu,whiteraccoon,132,37,13,False,False,False,False
valloric,listtoggle,132,13,6,False,False,False,False
valueflows,ovn,132,22,32,False,False,False,False
valueflows,valueflows,132,22,32,False,False,False,False
varabeis,spfakebar,132,10,4,False,False,False,False
velopert,ts-react-redux-tutorial,132,32,5,False,False,False,False
veraxy00,shiro-exp,132,22,2,False,False,False,False
veraxy01,shiro-exp,132,22,2,False,False,False,False
vercel,install-node,132,22,5,False,False,False,False
vidar-team,hctf2017,132,22,21,False,False,False,False
